place_canonical,place_type,modern_country,historical_polity,lat,lon,aliases,notes
Lahore,city,PK,,31.5497,74.3436,Lahor|لاہور,Mughal-era capital of Punjab; beloved-city archetype in Punjabi lyric.
Multan,city,PK,,30.1798,71.4214,Multān|ملتان|Mooltan,Sufi shrine city; pole of Siraiki devotional verse.
Karachi,city,PK,,24.8607,67.0011,کراچی,Largest city; modern setting more than poetic referent.
Islamabad,city,PK,,33.6844,73.0479,اسلام آباد,Capital; rare in lyric.
Peshawar,city,PK,,34.0151,71.5249,پشاور|Peshāwar,Frontier city; common in Pashto songs.
Quetta,city,PK,,30.1798,66.9750,کوئٹہ,Balochistan capital; Balochi/Brahui geography.
Sehwan,shrine,PK,,26.4181,67.8606,Sehwan Sharif|سیہون,Shrine of Lal Shahbaz Qalandar; central to Sindhi Sufi songs.
Hyderabad (Sindh),city,PK,,25.3960,68.3578,Hyderabad|حیدر آباد,Sindh's cultural capital; not to be confused with Hyderabad India.
Kashmir,region,,,34.0837,74.7973,Kashmīr|کشمیر,Disputed region; figures as longing/beloved in Urdu/Kashmiri verse.
Sindh,region,PK,,25.8943,68.5247,سندھ,Province; setting for Bhittai-tradition lyric.
Punjab,region,PK,,31.1471,75.3412,پنجاب,Province spanning PK + IN; the Punjabi-language hearth.
Balochistan,region,PK,,28.4907,65.0958,بلوچستان,Province; Balochi/Brahui geography.
Khurasan,region,,Khurasan,35.0000,59.0000,Khorasan|خراسان,Historical Persianate region spanning modern IR/AF/TM.
Hindustan,region,,Mughal Empire,23.0000,79.0000,Hind|Hindostan|ہندوستان|हिंदुस्तान,Pre-modern term for the Indian subcontinent; mythic in qawwali.
Karbala,shrine,IQ,,32.6160,44.0249,کربلا,Site of Husain's martyrdom; pole of qawwali devotional geography.
Najaf,shrine,IQ,,32.0000,44.3334,نجف,Shrine of Ali; recurs alongside Karbala.
Kufa,city,IQ,Caliphate,32.0286,44.4014,کوفہ,Early-Islamic city; appears in marsiya / qawwali.
Sham,region,,Caliphate,34.8021,38.9968,Levant|شام,Levant in Persian/Urdu qawwali; not modern Damascus alone.
Madinah,city,SA,,24.5247,39.5692,Medina|مدینہ|Madeena,Prophet's city; central to naat tradition.
Makkah,city,SA,,21.3891,39.8579,Mecca|مکّہ,Site of the Haram; foundational to naat.
Baghdad,city,IQ,Caliphate,33.3152,44.3661,بغداد,Abbasid capital; appears in Persian qawwali.
Shiraz,city,IR,,29.5926,52.5836,شیراز,Hafez and Saadi's city; Persian-poetry geography.
Samarqand,city,UZ,Timurid Empire,39.6270,66.9750,Samarkand|سمرقند,Persianate hub; recurs alongside Bukhara.
Bukhara,city,UZ,Timurid Empire,39.7747,64.4286,Bukhārā|بخارا,Persianate city; trade-and-learning archetype.
Ajmer,shrine,IN,,26.4499,74.6399,اجمیر,Shrine of Khwaja Moinuddin Chishti; Chishti-order devotion.
Delhi,city,IN,Mughal Empire,28.7041,77.1025,Dilli|دہلی|Dehli,Mughal capital; Urdu's literary cradle.
Banaras,city,IN,,25.3176,82.9739,Kāshī|Varanasi|بنارس|Kashi,Hindu pilgrimage city; appears in Braj-Bhasha lyric.
Mathura,city,IN,,27.4924,77.6737,متھرا|मथुरा,Krishna's birthplace; Braj-Bhasha geography.
Vrindavan,city,IN,,27.5650,77.6593,Brindaban|ورنداون,Krishna mythos; Braj lyric.
Hingol,river,PK,,25.5167,65.4833,Hingol River|ہنگول,Balochistan river; Hinglaj Mata shrine.
Ravi,river,,,30.6000,73.4500,دریائے راوی,Punjab river; recurrent geography in Punjabi verse.
Chenab,river,,,30.8167,71.7833,Chināb|چناب,River of Heer-Ranjha lore.
Sutlej,river,,,29.8800,73.8500,Satluj|ستلج,Punjab river; recurrent.
