seq,phase,category,duration_days,duration_label,share_of_decade_pct,note
1,Cicones (Ismaros),voyaging,3,a few days,0.1,"Raid and rout; 72 men lost."
2,Drift to the Lotus-Eaters,voyaging,11,"2 days beached + 9 days' drift",0.3,"The north wind at Cape Malea carries them off the map."
3,Lotus-Eaters,voyaging,1,brief,0.0,"Long enough for a scouting party to eat the lotus."
4,Cyclops,voyaging,3,2-3 days,0.1,"Trapped in Polyphemus's cave; 6 men lost."
5,Aeolus + near-miss,voyaging,40,"1 month + 9 days' sail + blown back",1.1,"Home in sight before the crew open the bag of winds."
6,Row to the Laestrygonians,voyaging,7,"~6 days' row + landfall",0.2,"11 ships destroyed — the single greatest loss."
7,Circe (Aeaea),detention,365,one year,10.0,"DETENTION. The sorceress's island; he stays a full year."
8,Underworld (Nekyia),voyaging,1,a day's visit,0.0,"Summons the dead; Tiresias's warning about the cattle of the Sun."
9,Sirens to Scylla,voyaging,2,brief passage,0.1,"Bound to the mast; then 6 men to Scylla."
10,Thrinacia (storm-bound),voyaging,35,over a month,1.0,"Storm-stranded; the crew eat Helios's cattle; the ship is destroyed and all crew die."
11,Calypso (Ogygia),detention,2555,seven years,70.0,"DETENTION. The single largest block of the decade — nearly three-quarters of it."
12,Ogygia to Scheria,voyaging,20,"17 days' sail + storm",0.5,"By raft, guided by the stars, keeping the Bear on his left."
13,Scheria (Phaeacians),voyaging,3,a few days,0.1,"Hosted by Alcinous; narrates the whole flashback."
14,Voyage home to Ithaca,voyaging,1,one night,0.0,"A single magical, self-steering Phaeacian voyage home."
